tract_fips,location_name,county_name,no_insurance_pct,high_bp_prevalence,heart_disease_prevalence,annual_checkup_pct,smoking_prevalence,diabetes_prevalence,obesity_prevalence,stroke_prevalence,CensusTract,State,County,Urban,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,lapophalf,lapop1,lapop10,lalowihalf,lalowi1,lalowi10,health_risk_score,health_risk_category,is_food_desert,combined_risk
06085501200,6085501200,Santa Clara,12.4,24.3,5.1,64.9,12.7,11.7,29.1,2.8,6085501200.0,California,Santa Clara County,1.0,0.0,0.0,0.0,,,,,,,16.520000000000003,High Risk,False,High Risk: Disease Only
06085501300,6085501300,Santa Clara,8.9,24.7,5.1,67.1,10.5,10.3,27.9,2.8,6085501300.0,California,Santa Clara County,1.0,0.0,1.0,0.0,670.202842615545,,,332.389855328947,,,15.38,High Risk,False,High Risk: Disease Only
06085501401,6085501401,Santa Clara,17.4,25.4,5.2,64.2,13.8,12.5,31.9,3.0,6085501401.0,California,Santa Clara County,1.0,0.0,0.0,0.0,247.715932101011,,,84.0369038209319,,,18.48,High Risk,False,High Risk: Disease Only
06085501402,6085501402,Santa Clara,16.0,24.1,4.5,65.7,10.0,10.6,29.4,2.5,6085501402.0,California,Santa Clara County,1.0,0.0,0.0,0.0,,,,,,,16.919999999999998,High Risk,False,High Risk: Disease Only
06085501501,6085501501,Santa Clara,14.5,22.9,4.2,63.1,12.1,11.7,26.6,2.4,6085501501.0,California,Santa Clara County,1.0,0.0,0.0,0.0,,,,,,,15.98,High Risk,False,High Risk: Disease Only
06085501502,6085501502,Santa Clara,16.2,22.6,4.3,62.5,13.6,11.2,28.7,2.5,6085501502.0,California,Santa Clara County,1.0,0.0,0.0,0.0,,,,,,,16.6,High Risk,False,High Risk: Disease Only
06085501601,6085501601,Santa Clara,9.9,20.8,3.9,63.4,10.7,8.7,27.5,2.2,,,,1.0,0.0,,,,,,,,,14.160000000000002,Medium Risk,False,Low Risk
06085501602,6085501602,Santa Clara,17.8,20.0,4.0,61.3,16.8,9.9,33.0,2.6,,,,1.0,0.0,,,,,,,,,16.94,High Risk,False,High Risk: Disease Only
06085501700,6085501700,Santa Clara,17.8,22.1,4.1,62.6,12.8,10.5,32.3,2.4,6085501700.0,California,Santa Clara County,1.0,0.0,0.0,0.0,16.3144931793213,,,6.26862287521362,,,17.36,High Risk,False,High Risk: Disease Only
06085501800,6085501800,Santa Clara,9.8,23.3,4.4,66.2,9.6,9.4,27.5,2.3,6085501800.0,California,Santa Clara County,1.0,0.0,0.0,0.0,2018.0840331316,,,406.594666246325,,,14.879999999999999,Medium Risk,False,Low Risk
06085501901,6085501901,Santa Clara,5.5,19.2,3.0,65.7,6.9,7.0,22.5,1.6,,,,1.0,0.0,,,,,,,,,11.440000000000001,Medium Risk,False,Low Risk
06085501902,6085501902,Santa Clara,7.4,17.3,2.6,61.7,10.1,6.5,24.4,1.5,,,,1.0,0.0,,,,,,,,,11.639999999999999,Medium Risk,False,Low Risk
06085502001,6085502001,Santa Clara,9.8,23.0,4.2,65.7,9.6,9.3,26.2,2.3,6085502001.0,California,Santa Clara County,1.0,0.0,1.0,0.0,1527.27099701762,,,313.309819197282,,,14.5,Medium Risk,False,Low Risk
06085502002,6085502002,Santa Clara,13.6,20.8,3.7,63.2,10.4,9.0,28.5,2.1,6085502002.0,California,Santa Clara County,1.0,0.0,0.0,0.0,221.482399225235,,,62.3946700692177,,,15.12,High Risk,False,High Risk: Disease Only
06085502101,6085502101,Santa Clara,6.0,26.2,5.3,69.6,9.3,10.3,25.2,2.8,6085502101.0,California,Santa Clara County,1.0,0.0,0.0,0.0,3910.82497916359,,,618.511825717549,,,14.6,Medium Risk,False,Low Risk
06085502103,6085502103,Santa Clara,13.3,24.1,4.5,63.9,12.3,10.3,29.1,2.6,,,,1.0,0.0,,,,,,,,,16.259999999999998,High Risk,False,High Risk: Disease Only
06085502104,6085502104,Santa Clara,9.5,23.8,4.6,66.7,9.2,9.6,26.1,2.4,,,,1.0,0.0,,,,,,,,,14.719999999999999,Medium Risk,False,Low Risk
06085502202,6085502202,Santa Clara,5.5,25.5,5.3,70.1,8.9,9.8,25.3,2.7,6085502202.0,California,Santa Clara County,1.0,0.0,0.0,0.0,1518.82709783316,,,269.951400846243,,,14.280000000000001,Medium Risk,False,Low Risk
06085502203,6085502203,Santa Clara,7.5,23.3,4.6,68.0,8.0,8.6,23.2,2.4,,,,1.0,0.0,,,,,,,,,13.440000000000001,Medium Risk,False,Low Risk
06085502204,6085502204,Santa Clara,14.6,22.1,4.1,64.1,14.6,10.6,33.0,2.7,,,,1.0,0.0,,,,,,,,,16.880000000000003,High Risk,False,High Risk: Disease Only
06085502301,6085502301,Santa Clara,5.2,24.9,4.8,70.4,6.6,8.4,24.1,2.3,6085502301.0,California,Santa Clara County,1.0,0.0,0.0,0.0,1418.86303925514,,,176.207859158516,,,13.479999999999999,Medium Risk,False,Low Risk
06085502302,6085502302,Santa Clara,7.7,24.0,4.7,67.0,10.2,9.2,26.8,2.5,6085502302.0,California,Santa Clara County,1.0,0.0,0.0,0.0,61.2501945495605,,,8.59210604429245,,,14.48,Medium Risk,False,Low Risk
06085502400,6085502400,Santa Clara,4.9,26.5,5.3,70.1,9.4,9.6,25.5,2.7,6085502400.0,California,Santa Clara County,1.0,0.0,0.0,0.0,1337.30176370777,,,133.962404542603,,,14.360000000000003,Medium Risk,False,Low Risk
06085502500,6085502500,Santa Clara,4.8,25.4,4.9,70.0,8.2,8.8,24.7,2.5,6085502500.0,California,Santa Clara County,1.0,0.0,0.0,0.0,5696.38747382537,215.109440803528,,653.033639031491,4.5087841078639,,13.719999999999999,Medium Risk,False,Low Risk
06085502601,6085502601,Santa Clara,4.0,30.3,6.7,75.0,6.6,10.1,22.2,3.1,6085502601.0,California,Santa Clara County,1.0,0.0,0.0,0.0,730.259428218007,,,36.156507265754,,,14.66,Medium Risk,False,Low Risk
06085502603,6085502603,Santa Clara,4.2,28.1,5.8,71.7,7.7,9.8,24.8,2.8,6085502603.0,California,Santa Clara County,1.0,0.0,0.0,0.0,535.094246327877,,,48.8068180829287,,,14.540000000000001,Medium Risk,False,Low Risk
06085502604,6085502604,Santa Clara,5.8,19.5,3.4,64.7,9.3,6.9,25.3,1.9,6085502604.0,California,Santa Clara County,1.0,0.0,0.0,0.0,58.3833923339844,,,5.59585236012936,,,12.18,Medium Risk,False,Low Risk
