tract_fips,location_name,county_name,no_insurance_pct,high_bp_prevalence,heart_disease_prevalence,annual_checkup_pct,smoking_prevalence,diabetes_prevalence,obesity_prevalence,stroke_prevalence,CensusTract,State,County,Urban,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,lapophalf,lapop1,lapop10,lalowihalf,lalowi1,lalowi10,health_risk_score,health_risk_category,is_food_desert,combined_risk
06097153001,6097153001,Sonoma,12.5,25.4,5.2,67.0,14.1,9.9,31.4,2.9,6097153001.0,California,Sonoma County,1.0,0.0,1.0,0.0,693.323282599449,,,277.154729858041,,,16.880000000000003,High Risk,False,High Risk: Disease Only
06097153002,6097153002,Sonoma,17.3,28.0,6.7,67.5,16.8,12.8,34.4,3.9,6097153002.0,California,Sonoma County,1.0,0.0,0.0,0.0,3852.59499609732,,,1218.35233438716,,,19.84,High Risk,False,High Risk: Disease Only
06097153003,6097153003,Sonoma,12.5,25.3,5.3,67.4,13.9,10.2,31.0,3.0,6097153003.0,California,Sonoma County,1.0,0.0,0.0,0.0,222.66615113616,,,77.13533654809,,,16.86,High Risk,False,High Risk: Disease Only
06097153005,6097153005,Sonoma,8.7,31.9,7.3,72.3,12.8,11.8,29.5,3.8,6097153005.0,California,Sonoma County,0.0,0.0,0.0,0.0,6206.1218090687,3659.18542156984,,1271.16950642578,900.078549043666,,17.84,High Risk,False,High Risk: Disease Only
06097153006,6097153006,Sonoma,10.0,30.0,6.7,71.1,12.4,10.8,28.0,3.5,6097153006.0,California,Sonoma County,1.0,0.0,1.0,0.0,2984.84893131442,1.68640220165253,,846.030025311746,0.588943541049957,,17.1,High Risk,False,High Risk: Disease Only
06097153102,6097153102,Sonoma,19.7,26.8,5.5,65.1,15.4,12.2,33.7,3.2,6097153102.0,California,Sonoma County,1.0,0.0,1.0,0.0,918.772286988795,,,346.327607940882,,,19.580000000000002,High Risk,False,High Risk: Disease Only
06097153103,6097153103,Sonoma,14.9,26.8,5.7,66.8,14.4,11.6,31.6,3.2,6097153103.0,California,Sonoma County,1.0,0.0,1.0,0.0,1759.71228966117,,,465.546594914282,,,18.12,High Risk,False,High Risk: Disease Only
06097153104,6097153104,Sonoma,18.9,25.4,5.2,66.6,13.8,10.8,33.0,3.0,6097153104.0,California,Sonoma County,1.0,0.0,0.0,0.0,,,,,,,18.660000000000004,High Risk,False,High Risk: Disease Only
06097153201,6097153201,Sonoma,11.6,24.4,4.4,66.8,13.1,10.1,29.4,2.5,,,,1.0,0.0,,,,,,,,,15.979999999999999,High Risk,False,High Risk: Disease Only
06097153202,6097153202,Sonoma,15.4,26.4,5.4,67.5,13.5,11.1,32.4,3.0,,,,1.0,0.0,,,,,,,,,18.14,High Risk,False,High Risk: Disease Only
06097153301,6097153301,Sonoma,10.1,26.5,5.1,68.4,12.4,9.9,30.2,2.8,,,,1.0,0.0,,,,,,,,,16.36,High Risk,False,High Risk: Disease Only
06097153302,6097153302,Sonoma,14.6,28.1,6.1,67.6,17.2,12.1,32.2,3.6,,,,1.0,0.0,,,,,,,,,18.619999999999997,High Risk,False,High Risk: Disease Only
06097153403,6097153403,Sonoma,5.1,32.6,7.2,74.6,11.0,11.0,28.2,3.6,6097153403.0,California,Sonoma County,1.0,0.0,0.0,0.0,1828.89947819011,1220.25410691695,,303.15610649978,190.757201719854,,16.82,High Risk,False,High Risk: Disease Only
06097153404,6097153404,Sonoma,5.3,35.7,8.5,76.4,11.1,12.3,29.1,4.2,6097153404.0,California,Sonoma County,1.0,0.0,0.0,0.0,3639.303423365,1280.41144927556,,705.472777272924,245.812033598195,,18.18,High Risk,False,High Risk: Disease Only
06097153405,6097153405,Sonoma,5.5,32.3,7.2,74.0,11.5,10.9,27.3,3.5,,,,1.0,0.0,,,,,,,,,16.64,High Risk,False,High Risk: Disease Only
06097153406,6097153406,Sonoma,4.9,29.7,5.8,74.0,9.5,9.3,27.3,2.8,,,,1.0,0.0,,,,,,,,,15.400000000000002,High Risk,False,High Risk: Disease Only
06097153501,6097153501,Sonoma,6.0,34.8,8.0,74.9,11.9,11.8,28.8,3.9,6097153501.0,California,Sonoma County,1.0,0.0,0.0,0.0,4318.99994930066,4278.13366391696,,494.700543529695,490.258555884814,,17.880000000000003,High Risk,False,High Risk: Disease Only
06097153502,6097153502,Sonoma,4.9,34.3,8.4,74.9,11.6,11.7,27.3,3.9,6097153502.0,California,Sonoma County,0.0,0.0,0.0,0.0,3683.99994132914,3675.63561580576,,978.779912980184,977.251260431394,,17.32,High Risk,False,High Risk: Disease Only
06097153601,6097153601,Sonoma,5.2,32.1,7.0,74.4,10.6,10.7,28.2,3.5,,,,1.0,0.0,,,,,,,,,16.64,High Risk,False,High Risk: Disease Only
06097153602,6097153602,Sonoma,4.5,33.6,8.1,76.8,9.3,11.3,27.5,3.8,,,,1.0,0.0,,,,,,,,,17.0,High Risk,False,High Risk: Disease Only
06097153705,6097153705,Sonoma,4.9,32.5,7.1,74.6,10.2,10.6,27.9,3.4,6097153705.0,California,Sonoma County,1.0,0.0,0.0,0.0,2672.53914676679,1363.92458555824,,734.547420451308,454.619951273664,,16.6,High Risk,False,High Risk: Disease Only
06097153707,6097153707,Sonoma,4.9,37.1,8.1,75.2,12.1,12.0,29.2,3.8,,,,1.0,0.0,,,,,,,,,18.26,High Risk,False,High Risk: Disease Only
06097153708,6097153708,Sonoma,4.6,36.0,7.6,74.6,11.7,11.4,29.0,3.7,,,,1.0,0.0,,,,,,,,,17.72,High Risk,False,High Risk: Disease Only
06097153709,6097153709,Sonoma,6.2,33.3,7.7,73.2,13.8,11.8,30.5,3.9,,,,1.0,0.0,,,,,,,,,17.9,High Risk,False,High Risk: Disease Only
06097153710,6097153710,Sonoma,5.8,32.9,7.1,73.1,12.0,11.1,30.1,3.5,,,,1.0,0.0,,,,,,,,,17.4,High Risk,False,High Risk: Disease Only
06097153711,6097153711,Sonoma,5.2,31.9,7.0,73.2,12.0,10.6,29.3,3.4,,,,1.0,0.0,,,,,,,,,16.800000000000004,High Risk,False,High Risk: Disease Only
06097153712,6097153712,Sonoma,4.7,38.4,9.1,77.6,11.4,13.2,29.5,4.5,,,,1.0,0.0,,,,,,,,,18.979999999999997,High Risk,False,High Risk: Disease Only
06097153804,6097153804,Sonoma,6.7,30.0,6.5,71.3,12.5,10.8,29.9,3.3,6097153804.0,California,Sonoma County,1.0,0.0,0.0,0.0,902.000152587891,,,48.4583403076977,,,16.78,High Risk,False,High Risk: Disease Only
06097153806,6097153806,Sonoma,8.3,33.5,8.2,74.4,11.8,12.4,29.0,4.1,6097153806.0,California,Sonoma County,1.0,0.0,0.0,0.0,735.48261586763,,,70.0395882799639,,,18.279999999999998,High Risk,False,High Risk: Disease Only
06097153807,6097153807,Sonoma,4.9,29.4,6.4,72.9,10.3,10.0,27.1,3.1,6097153807.0,California,Sonoma County,0.0,0.0,0.0,0.0,2818.98399998564,927.247387207486,,213.387130498113,53.1065793395232,,15.560000000000002,High Risk,False,High Risk: Disease Only
06097153808,6097153808,Sonoma,9.2,29.9,6.1,71.8,9.7,10.5,29.0,3.1,6097153808.0,California,Sonoma County,1.0,0.0,0.0,0.0,217.975111329928,,,44.0781709522707,,,16.94,High Risk,False,High Risk: Disease Only
